Datum;Dax30;Dax30lag;S&P500;S&P500lag
29.05.1998;0,901157723;0,740458909;-0,614969789;0,505832026
02.06.1998;0,482995291;0,901157723;0,223456006;-0,614969789
03.06.1998;1,013462086;0,482995291;-0,936789462;0,223456006
04.06.1998;-0,621230334;1,013462086;1,118064115;-0,936789462
05.06.1998;2,129561243;-0,621230334;1,74177334;1,118064115
08.06.1998;1,088257129;2,129561243;0,172388287;1,74177334
09.06.1998;-0,229477886;1,088257129;0,243203312;0,172388287
10.06.1998;0,440786522;-0,229477886;-0,54256184;0,243203312
12.06.1998;-2,894872069;0,440786522;-1,180317718;-0,54256184
15.06.1998;-0,889663917;-2,894872069;-1,986011361;-1,180317718
16.06.1998;0,725107682;-0,889663917;0,982747159;-1,986011361
17.06.1998;2,15450459;0,725107682;1,79860851;0,982747159
18.06.1998;-0,921845153;2,15450459;-0,062454893;1,79860851
19.06.1998;-0,802651721;-0,921845153;-0,516312456;-0,062454893
22.06.1998;0,068920063;-0,802651721;0,234490057;-0,516312456
23.06.1998;1,77457592;0,068920063;1,475801614;0,234490057
24.06.1998;0,627311537;1,77457592;1,199744744;1,475801614
25.06.1998;1,76889565;0,627311537;-0,317776078;1,199744744
26.06.1998;-0,275705316;1,76889565;0,363654757;-0,317776078
29.06.1998;1,077252495;-0,275705316;0,46790967;0,363654757
30.06.1998;-1,548772863;1,077252495;-0,399867623;0,46790967
01.07.1998;1,175658997;-1,548772863;1,301680326;-0,399867623
02.07.1998;-0,090685914;1,175658997;-0,186212164;1,301680326
06.07.1998;0,625047628;-0,090685914;0,966306075;-0,186212164
07.07.1998;0,569162883;0,625047628;-0,22936588;0,966306075
08.07.1998;0,719726634;0,569162883;1,040619813;-0,22936588
09.07.1998;-0,299889182;0,719726634;-0,669166481;1,040619813
10.07.1998;0,006665733;-0,299889182;0,498233756;-0,669166481
13.07.1998;0,36775733;0,006665733;0,077799311;0,498233756
14.07.1998;1,304764324;0,36775733;1,064869301;0,077799311
15.07.1998;0,06883102;1,304764324;-0,234787737;1,064869301
16.07.1998;0,031116425;0,06883102;0,783373997;-0,234787737
17.07.1998;0,898166339;0,031116425;0,233072798;0,783373997
20.07.1998;0,376935384;0,898166339;-0,222412649;0,233072798
21.07.1998;-0,032168947;0,376935384;-1,606868659;-0,222412649
22.07.1998;-1,665399977;-0,032168947;-0,077615697;-1,606868659
23.07.1998;-0,613210417;-1,665399977;-2,088974658;-0,077615697
24.07.1998;-0,053608479;-0,613210417;0,092143604;-2,088974658
27.07.1998;-3,082982098;-0,053608479;0,567230194;0,092143604
28.07.1998;0,224960926;-3,082982098;-1,484400487;0,567230194
29.07.1998;-0,660926592;0,224960926;-0,42544625;-1,484400487
30.07.1998;1,331162481;-0,660926592;1,591242405;-0,42544625
31.07.1998;-0,76426478;1,331162481;-1,949357669;1,591242405
03.08.1998;-1,481098548;-0,76426478;-0,731063937;-1,949357669
04.08.1998;-0,964259366;-1,481098548;-3,622100628;-0,731063937
05.08.1998;-1,817371081;-0,964259366;0,882772632;-3,622100628
06.08.1998;-1,543251104;-1,817371081;0,767096827;0,882772632
07.08.1998;1,269871132;-1,543251104;-0,016246136;0,767096827
10.08.1998;-2,463060347;1,269871132;-0,573194278;-0,016246136
11.08.1998;-3,198466055;-2,463060347;-1,287976538;-0,573194278
12.08.1998;1,913814044;-3,198466055;1,444569978;-1,287976538
13.08.1998;-0,592358556;1,913814044;-0,8564208;1,444569978
14.08.1998;2,216420823;-0,592358556;-1,126091224;-0,8564208
